,0res,0res2
0,0.522875817,0.764705882
1,0,0
2,0,0
3,0,0
4,0.635761589,0.854304636
5,0.745098039,0.823529412
6,0,0.058823529
7,0.721854305,0.82781457
8,0.790849673,0.810457516
9,0.712418301,0.85620915
10,0.712418301,0.836601307
11,0.777777778,0.862745098
12,0.725490196,0.862745098
13,0.797297297,0.851351351
14,1,1
15,0.725490196,0.869281046
16,0.777777778,0.830065359
17,0.666666667,0.705882353
18,0.725490196,0.849673203
19,0.68627451,0.823529412
20,1,1
21,0.786666667,0.853333333
22,0.705882353,0.810457516
23,0.215686275,0.797385621
24,0.673202614,0.803921569
25,0.816993464,0.869281046
26,0,0
27,0.738562092,0.810457516
28,0.803921569,0.836601307
29,0,0
30,0.732026144,0.843137255
31,0.679738562,0.862745098
32,0.653594771,0.725490196
33,0.809210526,0.815789474
34,0.738562092,0.85620915
35,0.078431373,0.522875817
36,0,0
37,0,0
38,0.75,0.809210526
39,0.45751634,0.568627451
40,0,0
41,0.738562092,0.862745098
42,0.555555556,0.85620915
43,0,0
44,0.640522876,0.862745098
45,0,0
46,0.647058824,0.784313725
47,0.68627451,0.862745098
48,0.789473684,0.835526316
49,1,1
50,0.708609272,0.854304636
51,0,0
52,0.679738562,0.849673203
53,0.68627451,0.843137255
54,0.673333333,0.706666667
55,0.607843137,0.751633987
56,0,0
57,0.598684211,0.828947368
58,0.701986755,0.794701987
59,0.666666667,0.849673203
60,0.803921569,0.843137255
61,0,0
62,0.607843137,0.849673203
63,0.647058824,0.836601307
64,0.815789474,0.828947368
65,0.743421053,0.835526316
66,0.679738562,0.77124183
67,0.644736842,0.815789474
68,0,0
69,0.725490196,0.85620915
70,0.522875817,0.751633987
71,0.535947712,0.843137255
72,0.60130719,0.869281046
73,0.647058824,0.830065359
74,0.660130719,0.751633987
75,0.300653595,0.745098039
76,0.666666667,0.797385621
77,0.725490196,0.790849673
78,0.31372549,0.607843137
79,0,0
80,0.688741722,0.847682119
81,0.7,0.713333333
82,0.287581699,0.784313725
83,1,1
84,0.77124183,0.85620915
85,0.39869281,0.535947712
86,0,0.058823529
87,0.784313725,0.816993464
88,1,1
89,0.633986928,0.810457516
90,0,0
91,1,1
92,0.888888889,0.862745098
93,0.692810458,0.85620915
94,0.331125828,0.847682119
95,0,0
96,0.692810458,0.836601307
97,0,0
98,0.823529412,0.836601307
99,0.784313725,0.85620915
100,0,0
101,0.620915033,0.803921569
102,0,0
103,0.68627451,0.823529412
104,0,0
105,0,0
106,0,0
107,0.736842105,0.855263158
108,0.54248366,0.836601307
109,0.660130719,0.803921569
110,1,1
111,0.789473684,0.848684211
112,0.679738562,0.790849673
113,1,1
114,0.738562092,0.758169935
115,0.701986755,0.874172185
116,0.768211921,0.860927152
