,0,1,2,3,4,5
0,0.435795557,15.77124183,2413,153,36.18954248,5537
,,,,,,
,,,,,,
,,,,,,
4,0.533768274,29.25827815,4418,151,54.81456954,8277
5,0.697470489,27.03267974,4136,153,38.75816993,5930
,,,,,,
7,0.780047242,37.17880795,5614,151,47.66225166,7197
8,1.05279443,35.58169935,5444,153,33.79738562,5171
9,0.643270869,37.01960784,5664,153,57.54901961,8805
10,0.643851375,36.58169935,5597,153,56.81699346,8693
11,0.765775034,43.78431373,6699,153,57.17647059,8748
12,0.566790464,30.92156863,4731,153,54.55555556,8347
13,0.874749442,51.60135135,7637,148,58.98986486,8730.5
14,0.523929471,6.857142857,48,7,13.08791209,91.61538462
15,0.697562214,53.8627451,8241,153,77.21568627,11814
16,0.945747001,45.34640523,6938,153,47.94771242,7336
17,0.829971182,26.35294118,4032,153,31.75163399,4858
18,0.765798752,36.90849673,5647,153,48.19607843,7374
19,0.517811126,22.32679739,3416,153,43.11764706,6597
20,0.773615261,14.14285714,198,14,18.28151261,255.9411765
21,0.707984463,27.34,4101,150,38.61666667,5792.5
22,0.653327534,29.45098039,4506,153,45.07843137,6897
23,0.395273551,15.96078431,2442,153,40.37908497,6178
24,0.673824561,31.37908497,4801,153,46.56862745,7125
25,0.782968472,48.85620915,7475,153,62.39869281,9547
,,,,,,
27,0.807377582,40.62745098,6216,153,50.32026144,7699
28,0.901777362,50.40522876,7712,153,55.89542484,8552
,,,,,,
30,0.630486078,34.92810458,5344,153,55.39869281,8476
31,0.525091932,31.73202614,4855,153,60.43137255,9246
32,0.695180338,28.47058824,4356,153,40.95424837,6266
33,1.083001706,37.59868421,5715,152,34.71710526,5277
34,0.535476839,32.11111111,4913,153,59.96732026,9175
35,0.689645626,16.28104575,2491,153,23.60784314,3612
,,,,,,
,,,,,,
38,0.762730992,35.57236842,5407,152,46.63815789,7089
39,0.818251928,20.80392157,3183,153,25.4248366,3890
,,,,,,
41,0.690030784,38.09150327,5828,153,55.20261438,8446
42,0.500775412,23.21568627,3552,153,46.35947712,7093
,,,,,,
44,0.537302462,28.66666667,4386,153,53.35294118,8163
,,,,,,
46,0.526085645,22.80392157,3489,153,43.34640523,6632
47,0.593458359,43.64052288,6677,153,73.53594771,11251
48,0.79268591,42.63815789,6481,152,53.78947368,8176
49,1.012853346,17.125,137,8,16.90767974,135.2614379
50,0.645714286,35.17218543,5311,151,54.47019868,8225
,,,,,,
52,0.534036305,26.1503268,4001,153,48.96732026,7492
53,0.575810522,38.77124183,5932,153,67.33333333,10302
54,0.73526825,16.72,2508,150,22.74,3411
55,0.738995873,28.09150327,4298,153,38.0130719,5816
,,,,,,
57,0.469565217,21.67105263,3294,152,46.15131579,7015
58,0.704206642,31.59602649,4771,151,44.86754967,6775
59,0.772733526,36.7124183,5617,153,47.50980392,7269
60,0.789965568,41.9869281,6424,153,53.1503268,8132
,,,,,,
62,0.573170732,24.5751634,3760,153,42.87581699,6560
63,0.561258278,31.01960784,4746,153,55.26797386,8456
64,1.042484653,56.42105263,8576,152,54.12171053,8226.5
65,0.757322176,39.29605263,5973,152,51.88815789,7887
66,0.651028149,21.31372549,3261,153,32.73856209,5009
67,0.534294818,20.96052632,3186,152,39.23026316,5963
,,,,,,
69,0.555555556,32.25490196,4935,153,58.05882353,8883
70,0.633652488,26.38562092,4037,153,41.64052288,6371
71,0.556296207,30,4590,153,53.92810458,8251
72,0.481890852,31.91503268,4883,153,66.22875817,10133
73,0.490107332,24.77124183,3790,153,50.54248366,7733
74,0.720147291,26.84313725,4107,153,37.2745098,5703
75,0.505028854,20.01960784,3063,153,39.64052288,6065
76,0.66585993,28.77124183,4402,153,43.20915033,6611
77,0.682756572,30.04575163,4597,153,44.00653595,6733
78,0.572817782,16.16993464,2474,153,28.22875817,4319
,,,,,,
80,0.486435921,24.10596026,3640,151,49.55629139,7483
81,0.900722195,31.18,4677,150,34.61666667,5192.5
82,0.43518851,15.84313725,2424,153,36.40522876,5570
83,0.846396966,9.285714286,65,7,10.97087379,76.7961165
84,0.753530167,53.7124183,8218,153,71.28104575,10906
85,0.652022315,12.22222222,1870,153,18.74509804,2868
,,,,,,
87,0.963896952,34.7254902,5313,153,36.02614379,5512
88,0.903878315,16.21428571,227,14,17.93857143,251.14
89,0.724853477,29.90849673,4576,153,41.26143791,6313
,,,,,,
91,0.661087866,6,36,6,9.075949367,54.4556962
92,1.020264595,63.50980392,9717,153,62.24836601,9524
93,0.565462619,30.79738562,4712,153,54.46405229,8333
94,0.442681749,21.25165563,3209,151,48.00662252,7249
,,,,,,
96,0.65153388,37.89542484,5798,153,58.16339869,8899
,,,,,,
98,0.897096973,47.46405229,7262,153,52.90849673,8095
99,0.578106739,38.79738562,5936,153,67.11111111,10268
,,,,,,
101,0.727656699,28.1503268,4307,153,38.68627451,5919
,,,,,,
103,0.513159829,22.81045752,3490,153,44.45098039,6801
,,,,,,
,,,,,,
,,,,,,
107,0.664969332,37.80263158,5746,152,56.84868421,8641
108,0.697522272,32.75163399,5011,153,46.95424837,7184
109,0.644346872,26.85620915,4109,153,41.67973856,6377
110,0.9313709,9.8,49,5,10.52212389,52.61061947
111,0.819878296,39.88815789,6063,152,48.65131579,7395
112,0.660360885,29.66013072,4538,153,44.91503268,6872
113,0.753456033,9.384615385,122,13,12.45542537,161.9205298
114,0.745663197,18.26143791,2794,153,24.49019608,3747
115,0.57489088,33.14569536,5005,151,57.65562914,8706
116,0.927488925,52.68874172,7956,151,56.80794702,8578
,0.689763373,,,,,
